                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3046,                 1.0932,                 1.4512,                0.82977,                0.61495,                0.75871,                0.40204,                 1.7605,                 1.7059,                 2.4187,             0.00066471,             0.00066471,             0.00066471
                      2,                 1.3166,                0.89406,                 1.4775,                0.66632,                  0.375,                0.51768,                0.32379,                 2.1111,                 3.0179,                 3.2694,              0.0013248,              0.0013248,              0.0013248
                      3,                 1.2631,                0.82765,                 1.4589,                 0.9246,                0.85157,                 0.9217,                0.57154,                 1.3159,                 0.9295,                 1.8503,              0.0019783,              0.0019783,              0.0019783
                      4,                 1.2176,                0.73875,                 1.4198,                0.95857,                0.93732,                 0.9795,                0.66832,                 1.1229,                0.59401,                 1.6379,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.1825,                0.71903,                 1.3905,                0.91945,                0.89468,                0.95418,                0.61919,                 1.2022,                0.63064,                  1.688,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.1647,                0.69474,                 1.3853,                0.95317,                0.94232,                0.96897,                0.68259,                 1.0057,                0.52162,                 1.4703,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.1362,                0.65866,                 1.3683,                0.94892,                0.93403,                0.96662,                0.65242,                 1.0919,                0.61607,                 1.5343,              0.0019505,              0.0019505,              0.0019505
                      8,                  1.135,                 0.6205,                 1.3695,                0.93523,                0.85648,                0.92593,                0.62816,                 1.1178,                0.63911,                 1.6254,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.1288,                0.63232,                 1.3577,                0.96892,                0.93815,                0.98866,                0.70742,                0.94442,                0.69336,                 1.3972,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.1112,                0.59781,                 1.3468,                0.94415,                0.95875,                0.98475,                0.69602,                0.96231,                0.50151,                 1.4267,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.0872,                0.58204,                 1.3447,                0.96751,                0.96507,                0.98948,                0.70139,                 0.9765,                 0.4671,                 1.4494,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.0966,                0.57409,                 1.3374,                0.96106,                0.96875,                0.99006,                0.69771,                 0.9864,                0.46384,                 1.4633,               0.001901,               0.001901,               0.001901
                     13,                 1.0727,                0.54431,                  1.324,                0.96355,                0.96991,                0.99085,                0.70876,                0.96178,                0.44301,                 1.4472,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.0698,                0.55618,                  1.326,                0.97669,                0.98264,                 0.9922,                0.71275,                0.94163,                0.43486,                 1.4108,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.0805,                 0.5543,                  1.336,                0.96544,                0.94444,                0.98793,                0.72087,                0.93923,                0.44018,                 1.4078,              0.0018713,              0.0018713,              0.0018713
